year,gender,race,age_group,death_cause,population,deaths,capita
All,Both,C,25-34,B,39725396,0,0
All,Both,C,35-44,B,36617242,0,0
All,Both,C,45-54,B,29921447,0,0
All,Both,C,55-64,B,20218003,0,0
All,Both,C,05-09,B,15232975,0,0
All,Both,C,65-74,B,11416321,1,0.008759389
All,Both,C,75-84,B,5767004,0,0
All,Both,C,85+,B,1764642,0,0
All,Both,C,10-14,I,14998715,3,0.020001713
All,Both,C,15-19,I,15622026,61,0.390474321
All,Both,C,20-24,I,17851169,105,0.588196773
All,Both,C,25-34,I,39725396,206,0.518559966
All,Both,C,35-44,I,36617242,142,0.387795454
All,Both,C,45-54,I,29921447,116,0.387681786
All,Both,C,55-64,I,20218003,76,0.375902605
All,Both,C,05-09,I,15232975,0,0
All,Both,C,65-74,I,11416321,64,0.560600915
All,Both,C,75-84,I,5767004,50,0.867001306
All,Both,C,85+,I,1764642,36,2.040073851
All,Both,C,10-14,J,14998715,2,0.013334476
All,Both,C,15-19,J,15622026,15,0.096018276
All,Both,C,20-24,J,17851169,27,0.151250599
All,Both,C,25-34,J,39725396,47,0.118312225
All,Both,C,35-44,J,36617242,40,0.109238156
All,Both,C,45-54,J,29921447,34,0.113630868
All,Both,C,55-64,J,20218003,22,0.108813912
All,Both,C,05-09,J,15232975,0,0
All,Both,C,65-74,J,11416321,13,0.113872061
All,Both,C,75-84,J,5767004,9,0.156060235
All,Both,C,85+,J,1764642,0,0
All,Both,C,10-14,C,14998715,0,0
All,Both,C,15-19,C,15622026,6,0.03840731
All,Both,C,20-24,C,17851169,10,0.05601874
All,Both,C,25-34,C,39725396,15,0.037759221
All,Both,C,35-44,C,36617242,14,0.038233355
All,Both,C,45-54,C,29921447,7,0.023394591
All,Both,C,55-64,C,20218003,2,0.009892174
All,Both,C,05-09,C,15232975,0,0
All,Both,C,65-74,C,11416321,4,0.035037557
All,Both,C,75-84,C,5767004,1,0.017340026
All,Both,C,85+,C,1764642,0,0
All,Both,C,10-14,K,14998715,0,0
All,Both,C,15-19,K,15622026,8,0.051209747
All,Both,C,20-24,K,17851169,25,0.140046851
All,Both,C,25-34,K,39725396,36,0.09062213
All,Both,C,35-44,K,36617242,23,0.06281194
All,Both,C,45-54,K,29921447,31,0.103604615
All,Both,C,55-64,K,20218003,17,0.084083477
All,Both,C,05-09,K,15232975,0,0
All,Both,C,65-74,K,11416321,15,0.131390839
All,Both,C,75-84,K,5767004,9,0.156060235
All,Both,C,85+,K,1764642,3,0.170006154
All,Both,C,10-14,L,14998715,0,0
All,Both,C,15-19,L,15622026,3,0.019203655
All,Both,C,20-24,L,17851169,5,0.02800937
All,Both,C,25-34,L,39725396,7,0.01762097
All,Both,C,35-44,L,36617242,8,0.021847631
All,Both,C,45-54,L,29921447,5,0.016710422
All,Both,C,55-64,L,20218003,2,0.009892174
All,Both,C,05-09,L,15232975,0,0
All,Both,C,65-74,L,11416321,0,0
All,Both,C,75-84,L,5767004,1,0.017340026
All,Both,C,85+,L,1764642,2,0.113337436
All,Both,D,10-14,P,51991563,0,0
All,Both,D,15-19,P,52233388,0,0
All,Both,D,20-24,P,48224324,0,0
All,Both,D,25-34,P,84861989,0,0
All,Both,D,35-44,P,85492068,0,0
All,Both,D,45-54,P,77573753,0,0
All,Both,D,55-64,P,50649777,0,0
All,Both,D,05-09,P,49511971,0,0
All,Both,D,65-74,P,28726710,0,0
All,Both,D,75-84,P,15336898,0,0
All,Both,D,85+,P,5332740,0,0
All,Both,D,10-14,H,51991563,16,0.030774224
All,Both,D,15-19,H,52233388,81,0.155073226
All,Both,D,20-24,H,48224324,242,0.501821446
All,Both,D,25-34,H,84861989,737,0.868468921
All,Both,D,35-44,H,85492068,1024,1.197771938
All,Both,D,45-54,H,77573753,879,1.133115217
All,Both,D,55-64,H,50649777,368,0.726557987
All,Both,D,05-09,H,49511971,0,0
All,Both,D,65-74,H,28726710,87,0.302854034
All,Both,D,75-84,H,15336898,35,0.228207816
All,Both,D,85+,H,5332740,11,0.206272948
All,Both,D,10-14,G,51991563,477,0.91745655
All,Both,D,15-19,G,52233388,873,1.671344773
All,Both,D,20-24,G,48224324,1182,2.451045244
All,Both,D,25-34,G,84861989,1992,2.347340692
All,Both,D,35-44,G,85492068,1603,1.875027751
All,Both,D,45-54,G,77573753,1006,1.296830385
All,Both,D,55-64,G,50649777,436,0.860813267
All,Both,D,05-09,G,49511971,20,0.040394272
All,Both,D,65-74,G,28726710,152,0.529124289
All,Both,D,75-84,G,15336898,53,0.345571836
All,Both,D,85+,G,5332740,22,0.412545896
All,Both,D,10-14,D,51991563,2,0.003846778
All,Both,D,15-19,D,52233388,38,0.072750402
All,Both,D,20-24,D,48224324,108,0.223953373
All,Both,D,25-34,D,84861989,208,0.245103847
All,Both,D,35-44,D,85492068,206,0.240958027
All,Both,D,45-54,D,77573753,154,0.198520755
All,Both,D,55-64,D,50649777,75,0.148075677
All,Both,D,05-09,D,49511971,1,0.002019714
All,Both,D,65-74,D,28726710,46,0.160129719
All,Both,D,75-84,D,15336898,15,0.09780335
All,Both,D,85+,D,5332740,5,0.093760431
All,Both,D,10-14,F,51991563,97,0.186568732
All,Both,D,15-19,F,52233388,1194,2.285894225
All,Both,D,20-24,F,48224324,2707,5.613349811
All,Both,D,25-34,F,84861989,4025,4.742995124
All,Both,D,35-44,F,85492068,2831,3.311418318
All,Both,D,45-54,F,77573753,2081,2.682608382
All,Both,D,55-64,F,50649777,1298,2.562696377
All,Both,D,05-09,F,49511971,0,0
All,Both,D,65-74,F,28726710,874,3.042464661
All,Both,D,75-84,F,15336898,603,3.931694662
All,Both,D,85+,F,5332740,162,3.037837959
All,Both,D,10-14,E,51991563,1,0.001923389
All,Both,D,15-19,E,52233388,0,0
All,Both,D,20-24,E,48224324,0,0
All,Both,D,25-34,E,84861989,1,0.001178384
All,Both,D,35-44,E,85492068,1,0.001169699
All,Both,D,45-54,E,77573753,0,0
All,Both,D,55-64,E,50649777,0,0
All,Both,D,05-09,E,49511971,0,0
All,Both,D,65-74,E,28726710,0,0
All,Both,D,75-84,E,15336898,0,0
All,Both,D,85+,E,5332740,0,0
All,Both,D,10-14,N,51991563,0,0
All,Both,D,15-19,N,52233388,6,0.011486906
All,Both,D,20-24,N,48224324,32,0.066356555
All,Both,D,25-34,N,84861989,68,0.080130104
All,Both,D,35-44,N,85492068,82,0.095915331
All,Both,D,45-54,N,77573753,70,0.090236707
All,Both,D,55-64,N,50649777,46,0.090819748
All,Both,D,05-09,N,49511971,0,0
All,Both,D,65-74,N,28726710,19,0.066140536
All,Both,D,75-84,N,15336898,6,0.03912134
All,Both,D,85+,N,5332740,0,0
All,Both,D,10-14,O,51991563,0,0
All,Both,D,15-19,O,52233388,0,0
All,Both,D,20-24,O,48224324,0,0
